id,price,room_type,accommodates,bedrooms,beds,bathrooms,shared_bath,dist_center_km,neighbourhood,property_type,superhost,host_tenure_yrs,host_n_listings,n_reviews_ltm,is_new,minimum_nights,has_pool,has_hot_tub,has_ac,has_free_parking,has_gym,has_washer,has_ev_charger,has_workspace,pets_allowed,self_checkin
620843955608092612,160,Entire home/apt,1,1,1,1,0,17.783094484730995,Other,Apartment/Condo,0,4.166666666666667,3,0,0,1,1,0,1,1,0,1,0,1,0,0
5456,134.5,Entire home/apt,3,1,2,1,0,1.673184167085926,78702,Guesthouse/Guest suite,1,15.416666666666666,1,12,0,2,0,0,1,0,0,0,0,0,0,1
1604449053741735810,314,Entire home/apt,6,2,3,1,0,0.9291210708977347,78701,Apartment/Condo,0,9.333333333333334,47,7,0,1,0,0,1,0,0,0,0,1,0,0
1673475934884380308,528,Entire home/apt,10,4,4,3,0,2.5114555701896037,78702,House,0,5.166666666666667,23,1,0,1,0,0,1,1,0,1,0,1,0,0
1640194258061143938,542.4,Entire home/apt,14,5,5,5,0,4.665017190827793,78704,House,1,4.5,178,0,1,1,1,0,1,0,0,1,0,0,1,1
1669592677691796779,1143.6699999999998,Hotel/shared room,2,1,1,1,0,1.9756706334360723,78704,Hotel-like,0,0.16666666666666666,47,0,1,1,1,0,1,0,1,0,1,1,1,1
1608358133690095633,268,Entire home/apt,5,2,2,2,0,4.757012677162755,78721,House,0,0.3333333333333333,2,7,0,2,0,0,1,1,1,1,0,1,0,1
1437305387683526204,146.67,Entire home/apt,3,1,2,1,0,5.890616301996002,78704,Apartment/Condo,0,9.333333333333334,47,26,0,3,0,0,1,1,0,1,0,0,0,1
1398658564375933944,246,Entire home/apt,4,2,2,2.5,0,6.141676913361991,78721,House,0,1.0833333333333333,1,6,0,1,0,0,1,1,0,1,0,1,0,1
867746411344715329,536.3499999999999,Entire home/apt,8,3,3,2.5,0,5.736984800178178,78721,House,1,7.75,7,39,0,1,0,0,1,1,1,1,0,1,0,1
